Designator,Mid X,Mid Y,Rotation,Layer
C1,169.4,-63.1,90.0,top
C10,166.3,-87.5,270.0,top
C11,164.8,-87.5,270.0,top
C12,154.5,-74.5,90.0,top
C13,187.2,-85.0,270.0,top
C14,178.7,-76.4,0.0,top
C15,161.5,-83.75,180.0,top
C16,182.35,-74.05,180.0,bottom
C17,179.35,-74.05,0.0,bottom
C18,188.9,-85.0,90.0,top
C19,190.6,-85.0,90.0,top
C2,170.5,-59.25,270.0,top
C20,154.5,-81.25,90.0,top
C21,155.25,-83.5,180.0,top
C22,163.75,-57.25,0.0,top
C23,175.35125,-63.7,270.0,top
C3,169.4,-67.3,90.0,top
C4,170.5,-55.75,270.0,top
C5,155.75,-72.25,0.0,top
C6,184.7,-88.1,180.0,top
C7,163.3,-87.5,270.0,top
C8,163.98,-84.5,90.0,top
C9,165.5,-84.5,90.0,top
D2,159.7875,-87.79,180.0,top
D3,159.7875,-86.29,180.0,top
D4,159.7875,-90.8,180.0,top
D5,159.7875,-89.3,180.0,top
J1,156.0,-58.5,90.0,top
J10,182.5,-90.0,180.0,bottom
J11,160.0,-88.25,0.0,bottom
J2,184.0,-65.5,270.0,top
J3,150.0,-77.0,90.0,top
J4,190.0,-77.0,270.0,top
J5,157.0,-50.25,0.0,top
J6,183.0,-50.25,180.0,top
J7,170.0,-50.25,0.0,top
J9,172.75,-90.0,180.0,bottom
R1,159.5,-62.75,270.0,top
R10,171.2,-81.9,0.0,top
R11,168.2,-85.9,90.0,top
R12,156.7875,-87.8,0.0,top
R13,156.7875,-86.29,0.0,top
R14,156.7875,-90.8,0.0,top
R15,156.7875,-89.3,0.0,top
R16,175.35125,-66.7,270.0,top
R2,180.5,-61.0,90.0,top
R3,159.5,-67.5,270.0,top
R4,180.5,-56.25,90.0,top
R8,168.2,-88.9,90.0,top
R9,174.2,-81.9,180.0,top
SW1,172.7,-87.4,270.0,top
SW2,173.0,-65.2,270.0,top
U1,164.75,-63.0,0.0,top
U2,175.25,-59.5,180.0,top
U3,164.75,-66.75,0.0,top
U4,175.25,-55.75,180.0,top
U5,169.75,-75.25,90.0,top
U6,159.25,-78.0,270.0,top
U7,182.3,-82.2,90.0,top
U8,169.6,-77.3,180.0,bottom
Y1,180.8,-71.4,0.0,bottom
